topic #,topic tag
1,war-government-political-democracy-violence-conflict-election-police-citizen-security
2,patient-health-doctor-disease-medical-hospital-drug-medicine-surgery-treatment
3,planet-earth-mars-solar-energy-atmosphere-star-sun-fly-ice
4,business-economy-economic-market-growth-china-global-india-cost-government
5,datum-computer-machine-internet-phone-web-digital-video-online-algorithm
6,brain-neuron-memory-cortex-disorder-behavior-animal-consciousness-signal-pattern
7,robot-robotic-machine-leg-intelligence-sensor-artificial-interact-video-autonomous
8,universe-galaxy-particle-star-theory-telescope-physics-quantum-black-hole
9,cell-dna-gene-genome-virus-stem-genetic-bacteria-molecule-tissue
10,ocean-fish-animal-sea-coral-whale-marine-specie-underwater-deep
11,student-teacher-education-classroom-game-class-learning-math-grade-college
12,music-song-musician-instrument-musical-listen-sing-piano-concert-video
13,car-vehicle-road-mile-driver-traffic-street-lane-transportation-highway
14,africa-african-continent-hiv-aid-south-nigeria-kenya-leader-poverty
15,cancer-tumor-breast-drug-disease-protein-blood-treatment-cell-lung
16,art-artist-image-painting-film-paint-museum-object-color-draw
17,girl-mother-boy-father-parent-daughter-sex-baby-god-mom
18,building-architecture-architect-material-structure-site-air-neighborhood-wall-apartment
19,language-english-chinese-translate-sentence-speaker-meaning-china-speech-spanish
20,plant-food-forest-tree-eat-specie-soil-farmer-animal-seed
